Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
85,2359,2039,0.864349,0.37355,1.7287,160,0.558079,0.645664
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
4,126,118,0.936508,0.438524,1.87302,4,0.47533,0.507555
227,4390,2988,0.680638,0.231634,1.36128,701,0.847784,1.24557
472,15891,9189,0.578252,0.167188,1.1565,3351,1.6899,2.92243
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
63,1885,1743,0.924668,0.427506,1.84934,71,0.34406,0.372091
244,11950,10616,0.888368,0.394599,1.77674,667,0.670428,0.754674
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
149,3956,2918,0.737614,0.272037,1.47523,519,0.96827,1.31271
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
3,48,44,0.916667,0.420139,1.83333,2,0.394432,0.430289
2,48,46,0.958333,0.459201,1.91667,1,0.295824,0.308686
44,1317,1219,0.925588,0.428357,1.85118,49,0.356944,0.385641
3,78,74,0.948718,0.450033,1.89744,2,0.351316,0.370306
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
855,45073,26861,0.595944,0.177575,1.19189,9106,2.28845,3.84005
68,1213,883,0.727947,0.264954,1.45589,165,0.786738,1.08076
300,12212,8160,0.668195,0.223242,1.33639,2026,1.65247,2.47303
6,217,207,0.953917,0.454979,1.90783,5,0.35636,0.373576
3,14,10,0.714286,0.255102,1.42857,2,0.566849,0.793589
6,20,10,0.5,0.125,1.0,5,0.630253,1.26051
51,1494,1364,0.912985,0.416771,1.82597,65,0.401466,0.439729
45,1186,1094,0.922428,0.425437,1.84486,46,0.332489,0.36045
54,1665,1513,0.908709,0.412876,1.81742,76,0.436856,0.480743
5,99,91,0.919192,0.422457,1.83838,4,0.4,0.435165
2,29,27,0.931034,0.433413,1.86207,1,0.338496,0.36357
52,1118,956,0.855098,0.365597,1.7102,81,0.510915,0.597492
202,5166,3982,0.770809,0.297073,1.54162,592,0.789255,1.02393
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145
138,3164,2440,0.771176,0.297356,1.54235,362,0.749402,0.971766
57,1439,1315,0.913829,0.417542,1.82766,62,0.344393,0.376869
2,29,27,0.931034,0.433413,1.86207,1,0.338496,0.36357
49,826,664,0.803874,0.323107,1.60775,81,0.566601,0.704838
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
42,1419,1335,0.940803,0.442556,1.88161,42,0.31723,0.33719
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
164,6869,6025,0.877129,0.384678,1.75426,422,0.670628,0.764572
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
95,2561,2047,0.799297,0.319438,1.59859,257,0.793663,0.992951
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402
223,8888,5020,0.564806,0.159503,1.12961,1934,2.19624,3.88849
3,89,85,0.955056,0.456066,1.91011,2,0.341138,0.357192
3,22,18,0.818182,0.334711,1.63636,2,0.489574,0.598368
93,2110,1784,0.845498,0.357433,1.691,163,0.527205,0.623545
56,1253,1087,0.867518,0.376294,1.73504,83,0.478373,0.551428
40,761,665,0.87385,0.381807,1.7477,48,0.416384,0.476494
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169
99,1487,1043,0.701412,0.24599,1.40282,222,0.706809,1.00769
8,115,101,0.878261,0.385671,1.75652,7,0.42384,0.48259
