Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
4,94,88,0.93617,0.438207,1.87234,3,0.379224,0.40508,1,100,2
91,1899,1323,0.696682,0.242683,1.39336,288,0.965256,1.3855,1,1,1
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,4,114
2,114,112,0.982456,0.48261,1.96491,1,0.242636,0.246969,1,493,2
3,40,36,0.9,0.405,1.8,2,0.413364,0.459293,1,1,1
2,76,74,0.973684,0.47403,1.94737,1,0.265042,0.272206,1,1,1
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,1,1
121,3147,2599,0.825866,0.341027,1.65173,274,0.647353,0.783847,1,2,1
46,1480,1384,0.935135,0.437239,1.87027,48,0.329115,0.351944,1,361,2
791,43504,26130,0.600634,0.180381,1.20127,8687,2.36762,3.94187,1,172,5
67,2591,2437,0.940563,0.44233,1.88113,77,0.336666,0.35794,1,501,2
44,1350,1258,0.931852,0.434174,1.8637,46,0.333941,0.358363,1,1,1
57,1041,837,0.804035,0.323236,1.60807,102,0.59296,0.73748,1,1,1
39,615,449,0.730081,0.266509,1.46016,83,0.762912,1.04497,1,190,4
50,625,523,0.8368,0.350117,1.6736,51,0.364732,0.435865,1,686,1
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,10,28
7,103,89,0.864078,0.373315,1.72816,7,0.495778,0.573765,1,1,1
725,27994,15648,0.558977,0.156228,1.11795,6173,1.91462,3.42523,1,26,26
2,60,58,0.966667,0.467222,1.93333,1,0.28006,0.289718,1,15,33
3,32,28,0.875,0.382812,1.75,2,0.439026,0.501744,1,1,1
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,1,1
48,725,601,0.828966,0.343592,1.65793,62,0.451484,0.544635,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,169,3
99,1902,1514,0.796004,0.316811,1.59201,194,0.59754,0.750674,1,77,6
50,838,568,0.677804,0.229709,1.35561,135,0.923468,1.36244,1,521,1
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427,1,1,1
55,950,836,0.88,0.3872,1.76,57,0.347986,0.395438,1,250,3
231,5171,4163,0.805067,0.324066,1.61013,504,0.587512,0.729768,1,27,26
4,77,71,0.922078,0.425114,1.84416,3,0.396386,0.429884,1,1,1
48,828,730,0.881643,0.388647,1.76329,49,0.349774,0.39673,1,1,1
57,1618,1466,0.906057,0.41047,1.81211,76,0.415466,0.458543,1,43,4
46,1377,1283,0.931736,0.434066,1.86347,47,0.325472,0.349318,1,292,2
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,1,1
2,32,30,0.9375,0.439453,1.875,1,0.329269,0.351221,1,1,1
2,43,41,0.953488,0.45457,1.90698,1,0.304238,0.319078,1,9675,1
285,8251,4539,0.550115,0.151313,1.10023,1856,1.66276,3.02256,1,881,4
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158,1,658,1
441,19398,11110,0.572739,0.164015,1.14548,4144,2.19154,3.82641,1,2,1
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,31,8
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,1,1
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557,1,24,25
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,98,4
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,1,1
3,28,24,0.857143,0.367347,1.71429,2,0.455872,0.531851,1,1,1
3,71,67,0.943662,0.445249,1.88732,2,0.358938,0.380367,1,1,1
81,1090,834,0.765138,0.292718,1.53028,128,0.52019,0.679865,1,87,3
2,71,69,0.971831,0.472228,1.94366,1,0.269203,0.277006,1,32,27
57,1308,1138,0.870031,0.378477,1.74006,85,0.478427,0.549897,1,7,1
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524,1,74,10
54,2052,1928,0.939571,0.441397,1.87914,62,0.346622,0.368916,1,167,4
3,48,44,0.916667,0.420139,1.83333,2,0.394432,0.430289,1,1,1
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,1,1
3,10,6,0.6,0.18,1.2,2,0.640168,1.06695,1,503,1
2,59,57,0.966102,0.466676,1.9322,1,0.281191,0.291057,1,1,1
45,1644,1550,0.942822,0.444457,1.88564,47,0.324748,0.344443,1,4,4
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,221,3
185,3867,2911,0.75278,0.283339,1.50556,478,0.720221,0.956749,1,24,31
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,10,61
42,1479,1395,0.943205,0.444818,1.88641,42,0.315431,0.334425,1,2,1
864,25497,12615,0.494764,0.122396,0.989528,6441,1.69179,3.41938,1,1,1
76,1279,677,0.52932,0.14009,1.05864,301,1.27462,2.40804,1,196,3
4,25,17,0.68,0.2312,1.36,4,0.706727,1.0393,1,112,3
411,15849,11131,0.702316,0.246624,1.40463,2359,1.36658,1.94581,1,8,86
58,1300,1174,0.903077,0.407774,1.80615,63,0.348783,0.386216,1,1,1
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714,1,18,31
89,1098,902,0.821494,0.337426,1.64299,98,0.362093,0.440774,1,1,1
83,1683,1377,0.818182,0.334711,1.63636,153,0.571351,0.698318,1,64,13
56,736,602,0.817935,0.334509,1.63587,67,0.417242,0.510117,1,104,7
4,13,7,0.538462,0.14497,1.07692,3,0.654377,1.21527,1,1,1
106,2072,1426,0.688224,0.236826,1.37645,323,0.918763,1.33498,1,29,28
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524,1,1,1
52,883,771,0.87316,0.381204,1.74632,56,0.365498,0.418593,1,79,6
64,1071,879,0.820728,0.336797,1.64146,96,0.495018,0.603144,1,1,1
3448,283963,164583,0.579593,0.167964,1.15919,59690,3.17452,5.47715,1,99,5
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,2,1
948,68366,36804,0.538338,0.144904,1.07668,15781,3.44305,6.39571,1,1,1
169,2853,2061,0.722397,0.260929,1.44479,396,0.678115,0.938701,1,147,3
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899,1,14,14
5,163,155,0.95092,0.452125,1.90184,4,0.361199,0.379842,1,30,16
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,1,1
20,379,295,0.778364,0.302925,1.55673,42,0.814022,1.04581,1,1,1
66,1155,929,0.804329,0.323473,1.60866,113,0.558976,0.69496,1,26,22
2,36,34,0.944444,0.445988,1.88889,1,0.318837,0.337592,1,1,1
3,19,15,0.789474,0.311634,1.57895,2,0.512415,0.649058,1,16,10
91,1771,1345,0.759458,0.288388,1.51892,213,0.720543,0.94876,1,1,1
342,16646,6750,0.405503,0.0822163,0.811006,4948,3.42731,8.45201,1,92,4
94,1797,1475,0.820812,0.336867,1.64162,161,0.526229,0.641108,1,57,19
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,351,2
40,1330,1244,0.935338,0.437429,1.87068,43,0.344091,0.367878,1,2,1
781,49439,20021,0.404964,0.0819978,0.809927,14709,4.01219,9.90754,1,252,3
4,65,53,0.815385,0.332426,1.63077,6,0.824382,1.01104,3,98,3
340,12972,6456,0.497687,0.123846,0.995375,3258,2.32975,4.68115,1,44,12
278,9887,6199,0.626985,0.196555,1.25397,1844,1.6603,2.64808,1,238,4
46,730,634,0.868493,0.37714,1.73699,48,0.364353,0.419524,1,4418,1
6596,372751,78575,0.210798,0.0222178,0.421595,147088,4.00249,18.9874,6,2,1
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714,1,79,2
263,8536,5468,0.640581,0.205172,1.28116,1534,1.48365,2.31611,1,1,1
3,120,116,0.966667,0.467222,1.93333,2,0.320084,0.331122,1,22,32
45,743,577,0.776581,0.301539,1.55316,83,0.642312,0.827101,1,1,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,1,1
2057,236339,93619,0.396122,0.0784562,0.792243,71360,6.45595,16.2979,3,3403,1
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714,1,1,1
